OBJECTID_1,TAP,MAT,pH,AP,AK,TP,TK,TN,OM
32546,699.823,4.09287,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32552,661.274,4.10554,6.763,5.41,148.12,0.0978,2.536,0.2137,4.521
32553,669.464,4.12121,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32555,667.078,4.07058,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32557,662.685,3.9065,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32616,728.492,3.78108,7.01,6.439,133.09,0.08244,2.182,0.1505,1.997
32623,712.707,4.08308,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32629,710.276,4.32625,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32649,652.765,3.6395,6.086,7.545,167.87,0.0375,1.962,0.2527,6.788
32680,612.906,3.58008,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32683,615.234,3.64546,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32684,616.621,3.66696,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32710,717.56,4.1335,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32711,716.82,4.16937,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32728,669.696,4.00213,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32730,665.478,4.07204,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32767,605.462,3.71217,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32771,616.907,3.71596,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
32772,618.446,3.66067,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
32787,722.549,3.86521,6.406,5.815,218.91,0.0819,1.789,0.1532,3.947
32789,725.484,3.82221,6.763,5.41,148.12,0.09176,2.561,0.1617,3.796
32793,728.981,3.93579,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
32794,722.613,3.90125,6.626,3.795,152.82,0.07952,2.207,0.2107,4.024
32796,725.12,4.02392,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32797,723.328,4.03887,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32798,726.641,4.12858,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32799,719.56,4.24012,8.039,10.65,97.89,0.0639,1.863,0.08505,1.861
32800,719.101,4.13921,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32801,713.829,4.27875,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32822,663.663,3.98429,6.419,14.64,172.13,0.1385,2.267,0.4486,11.81
32856,608.138,3.82142,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
32859,613.77,3.83579,5.697,9.42,121.4,0.0625,2.278,0.228,4.172
32860,618.522,3.81896,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
32873,724.029,4.09837,6.406,5.815,218.91,0.0819,1.789,0.1532,3.947
32875,724.336,3.9185,8.156,6.135,97.22,0.1074,2.106,0.1976,5.874
32879,727.195,4.00125,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32880,725.075,4.03612,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32881,727.805,3.99958,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32887,726.846,4.14471,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32891,718.769,4.22608,6.99,6.828,118.28,0.09052,2.316,0.172,3.211
32904,710.545,3.78029,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
32911,665.077,3.86588,6.626,3.795,152.82,0.0843,2.296,0.185,3.547
32912,661.096,3.90879,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32914,657.412,3.86392,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
32950,617.969,3.86767,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
32955,632.995,3.69333,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
32966,726.435,4.08742,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32977,729.168,4.175,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
32979,729.431,4.26038,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
32980,724.856,4.34112,6.99,6.828,118.28,0.09052,2.316,0.172,3.211
33002,678.494,4.10904,5.775,5.078,85.01,0.05177,1.598,0.1414,2.944
33040,617.443,3.88246,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33041,614.563,3.86658,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33042,619.233,3.92388,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33044,625.124,3.88725,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33046,636.177,3.77383,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33048,649.018,3.70508,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33054,731.825,4.16667,6.626,3.795,152.82,0.07849,2.166,0.1803,4.114
33067,734.668,3.99408,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33068,736.957,4.01996,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33070,732.242,4.21312,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33094,692.728,4.07933,6.626,3.795,152.82,0.0843,2.296,0.185,3.547
33101,650.726,3.77579,6.559,3.795,152.82,0.0843,2.453,0.185,3.547
33102,658.447,3.61058,6.419,14.64,172.13,0.1385,2.267,0.4486,11.81
33111,647.131,3.06083,6.495,10.3,171.26,0.1252,2.059,0.4051,7.863
33128,629.885,4.00125,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33129,623.897,4.06525,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33130,620.087,3.93075,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33134,615.216,3.95425,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33146,733.935,4.21417,6.628,3.795,152.82,0.07849,2.114,0.1803,4.114
33159,746.291,4.00088,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33160,742.02,4.02513,8.086,5.771,104.47,0.1074,2.106,0.1976,5.874
33161,740.515,4.14817,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33162,741.071,4.39575,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33164,735.199,4.28958,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33222,622.872,3.94175,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33224,616.258,3.91275,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33225,616.756,3.87237,5.889,9.626,129.3,0.1186,1.959,0.2929,6.26
33227,632.058,3.98817,5.697,9.42,121.4,0.0625,2.005,0.2053,3
33237,733.411,4.31338,6.628,3.795,152.82,0.07849,2.114,0.1803,4.114
33238,734.233,4.24246,6.628,3.795,152.82,0.07849,2.114,0.1803,4.114
33241,736.996,4.10125,6.638,10.3,171.26,0.1079,1.83,0.4459,9.18
33246,742.072,4.15875,6.638,10.3,171.26,0.1079,1.83,0.4459,9.18
33248,764.661,3.85596,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33249,759.062,4.04837,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33250,756.056,3.97683,6.495,10.3,171.26,0.1094,1.83,0.4051,7.863
33254,747.734,4.25083,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33255,748.927,4.23421,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33256,753.254,4.246,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33274,715.892,3.93658,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33280,712.418,3.75779,6.495,10.3,171.26,0.1252,2.059,0.4051,7.863
33286,661.459,3.85079,6.626,3.795,152.82,0.0843,2.296,0.185,3.547
33314,627.119,3.96183,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33315,627.752,3.96833,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33316,623.696,3.94346,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33317,624.04,3.9595,5.877,11.98,164.09,0.1746,1.327,0.7159,23.08
33333,738.046,4.42929,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33346,763.389,3.977,6.638,10.3,171.26,0.1079,1.83,0.4459,9.18
33350,752.353,4.25046,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33378,701.494,4.15233,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33401,644.037,3.80037,6.75,14.21,224.91,0.09991,2.297,0.2458,5.235
33415,630.476,4.17313,5.869,10.13,163.3,0.09371,2.262,0.4355,9.314
33419,655.223,4.05571,7.998,7.061,133.62,0.04592,1.877,0.295,5.456
33421,661.705,3.86929,5.668,9.626,129.3,0.07978,1.888,0.2005,4.702
33436,760.001,3.82283,6.638,10.3,171.26,0.1079,1.83,0.4459,9.18
33446,755.631,4.24583,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
33447,757.257,4.21817,5.697,9.42,121.4,0.07586,2.28,0.2152,4.869
33498,758.513,3.97671,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
38241,181.244,8.33737,8.158,5,177.82,0.07586,2.209,0.09131,1.611
38371,185.626,8.55517,5.489,5.5,70.75,0.04514,1.672,0.2004,3.523
38497,187.542,8.32317,8.201,7.979,155.26,0.07875,1.711,0.06216,1.015
38499,181.527,8.26892,5.489,5.5,70.75,0.04514,1.672,0.2004,3.523
38628,190.318,8.30508,8.201,7.979,155.26,0.07875,1.677,0.06216,1.015
43312,252.278,3.43725,8.231,3.604,99.71,0.069,2.053,0.1057,1.879
45451,674.053,4.91492,8.397,5.466,158.61,0.03093,2.311,0.1144,1.329
45492,588.686,5.34704,7.998,7.061,133.62,0.03964,1.877,0.2252,4.993
45493,602.03,5.41263,7.121,3.326,244.02,0.06565,2.139,0.2517,3.978
45504,646.439,4.8785,8.136,4.757,220.4,0.05621,1.779,0.09277,1.689
45563,553.486,5.71637,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45565,551.478,5.77879,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45566,549.985,5.74229,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45597,606.511,5.41892,6.406,5.815,218.91,0.0819,1.82,0.1532,3.947
45598,607.512,5.53075,7.998,7.061,133.62,0.04592,1.877,0.2252,4.993
45600,616.931,5.21292,8.136,4.757,220.4,0.05621,1.779,0.09277,1.689
45601,624.492,5.22287,7.166,2.079,99.1,0.02044,2.125,0.03886,0.6687
45603,631.932,5.06279,8.106,3.999,125.91,0.0359,1.931,0.1063,1.575
45604,631.803,5.114,8.106,3.999,125.91,0.0359,1.931,0.1063,1.575
45690,555.963,5.89338,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45692,547.636,5.85467,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45693,548.867,5.79896,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45694,552.167,5.75658,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45695,552.012,5.86684,8.207,5.455,107.89,0.04628,2.406,0.2093,3.82
45696,544.833,5.93687,8.207,5.455,107.89,0.04628,2.406,0.2093,3.82
45729,605.978,5.20933,7.019,12.92,270.49,0.0494,1.911,0.1383,2.059
45818,557.173,5.89929,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45820,547.055,5.92529,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45821,547.586,5.87137,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45822,547.036,5.85671,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45823,544.278,5.90662,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45824,538.842,5.86733,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45825,539.214,5.907,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45826,543.905,5.93,6.99,3.657,125.66,0.09052,2.316,0.172,3.211
45827,551.853,5.93321,8.136,4.867,220.4,0.05621,1.779,0.09277,1.689
45948,550.962,5.86571,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45949,545.9,5.95321,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45950,546.827,5.9945,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45951,539.232,6.01333,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45953,540.893,5.95229,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45954,545.841,6.03346,7.948,6.627,89.59,0.03449,2.257,0.1609,1.746
45956,552.098,6.02121,7.166,2.079,99.1,0.02044,2.1,0.03731,0.6887
45976,562.031,5.7015,8.546,9.368,229,0.07185,2.167,0.1272,2.316
45977,567.37,5.62433,8.546,9.368,229,0.07185,2.167,0.1272,2.316
